,order_id,product_id,add_to_cart_order,reordered
0,2,33120,1,1
1,2,28985,2,1
2,2,9327,3,0
3,2,45918,4,1
4,2,30035,5,0
5,2,17794,6,1
6,2,40141,7,1
7,2,1819,8,1
8,2,43668,9,0
9,3,33754,1,1
10,3,24838,2,1
11,3,17704,3,1
12,3,21903,4,1
13,3,17668,5,1
14,3,46667,6,1
15,3,17461,7,1
16,3,32665,8,1
17,4,46842,1,0
18,4,26434,2,1
19,4,39758,3,1
20,4,27761,4,1
21,4,10054,5,1
22,4,21351,6,1
23,4,22598,7,1
24,4,34862,8,1
25,4,40285,9,1
26,4,17616,10,1
27,4,25146,11,1
28,4,32645,12,1
29,4,41276,13,1
30,5,13176,1,1
31,5,15005,2,1
32,5,47329,3,1
33,5,27966,4,1
34,5,23909,5,1
35,5,48370,6,1
36,5,13245,7,1
37,5,9633,8,1
38,5,27360,9,1
39,5,6348,10,1
40,5,40878,11,1
41,5,6184,12,1
42,5,48002,13,1
43,5,20914,14,1
44,5,37011,15,1
45,5,12962,16,1
46,5,45698,17,1
47,5,24773,18,1
48,5,18569,19,1
49,5,41176,20,1
50,5,48366,21,1
51,5,47209,22,0
52,5,46522,23,0
53,5,38693,24,0
54,5,48825,25,0
55,5,8479,26,0
56,6,40462,1,0
57,6,15873,2,0
58,6,41897,3,0
59,7,34050,1,0
60,7,46802,2,0
61,8,23423,1,1
62,9,21405,1,0
63,9,47890,2,1
64,9,11182,3,0
65,9,2014,4,1
66,9,29193,5,1
67,9,34203,6,1
68,9,14992,7,1
69,9,31506,8,1
70,9,23288,9,0
71,9,44533,10,1
72,9,18362,11,0
73,9,27366,12,1
74,9,432,13,1
75,9,3990,14,1
76,9,14183,15,0
77,10,24852,1,1
78,10,4796,2,1
79,10,31717,3,0
80,10,47766,4,1
81,10,4605,5,1
82,10,1529,6,0
83,10,21137,7,1
84,10,22122,8,1
85,10,34134,9,1
86,10,27156,10,0
87,10,14992,11,0
88,10,49235,12,1
89,10,26842,13,0
90,10,3464,14,0
91,10,25720,15,0
92,11,30162,1,1
93,11,27085,2,1
94,11,5994,3,1
95,11,1313,4,1
96,11,31506,5,1
97,12,30597,1,1
98,12,15221,2,1
99,12,43772,3,1
100,12,37886,4,1
101,12,37215,5,0
102,12,34335,6,1
103,12,3164,7,0
104,12,26910,8,0
105,12,38888,9,0
106,12,38050,10,1
107,12,25213,11,0
108,12,11175,12,0
109,12,23390,13,0
110,12,29471,14,0
111,12,43511,15,0
112,13,17330,1,0
113,13,27407,2,0
114,13,35419,3,0
115,13,196,4,0
116,13,44635,5,0
117,13,26878,6,0
118,13,25783,7,0
119,13,41290,8,0
120,13,33198,9,0
121,13,23020,10,0
122,13,36086,11,0
123,13,3800,12,0
124,13,25952,13,0
125,14,20392,1,1
126,14,27845,2,1
127,14,162,3,1
128,14,2452,4,1
129,14,8575,5,1
130,14,41890,6,1
131,14,39475,7,1
132,14,10096,8,1
133,14,23032,9,0
134,14,20995,10,1
135,14,45066,11,0
136,15,19660,1,1
137,15,21195,2,1
138,15,7461,3,1
139,15,2996,4,1
140,15,32463,5,1
141,16,9755,1,1
142,16,25466,2,0
143,16,45437,3,0
144,18,8021,1,0
145,18,34969,2,1
146,18,1000,3,0
147,18,5212,4,0
148,18,36011,5,1
149,18,44632,6,1
150,18,46969,7,0
151,18,27966,8,0
152,18,38985,9,1
153,18,26648,10,1
154,18,48745,11,0
155,18,7948,12,0
156,18,4802,13,0
157,18,28934,14,0
158,18,2116,15,0
159,18,45495,16,1
160,18,32018,17,1
161,18,27644,18,0
162,18,4656,19,0
163,18,9848,20,0
164,18,17568,21,0
165,18,23339,22,0
166,18,7308,23,0
167,18,35547,24,1
168,18,33279,25,0
169,18,46979,26,1
170,18,47766,27,1
171,18,1057,28,0
172,19,42265,1,1
173,19,24838,2,1
174,19,41540,3,1
175,20,35430,1,0
176,20,47485,2,0
177,20,7419,3,0
178,20,5112,4,0
179,20,33452,5,0
180,20,24852,6,0
181,20,42633,7,0
182,20,27605,8,0
183,21,5009,1,1
184,21,33106,2,1
185,21,4149,3,0
186,21,31478,4,0
187,21,25718,5,1
188,22,23909,1,1
189,22,22754,2,1
190,22,24852,3,1
191,22,28993,4,1
192,22,41273,5,1
193,22,23341,6,1
194,22,46941,7,1
195,22,39993,8,0
196,22,19068,9,1
197,22,21410,10,0
198,22,17341,11,0
199,22,40593,12,0
200,22,46979,13,1
201,22,31268,14,1
202,23,25931,1,1
203,23,35163,2,1
204,23,29662,3,1
